Date,Open,High,Low,Close,Adj Close,Volume,MA_30,MA_90,Daily_Return,Volatility,Year,Month,EMA_30,Lag_1,Lag_2,Lag_3
2012-01-03,58.485714,58.92857,58.42857,58.747143,50.765709,75555200,,,,,2012,1,58.747143,,,
2012-01-04,58.57143,59.240002,58.468571,59.062859,51.038536,65005500,,,0.005374150705507619,,2012,1,58.910262933333335,58.747143,,
2012-01-05,59.278572,59.792858,58.952858,59.718571,51.605175,67817400,,,0.011101934635436406,,2012,1,59.19785421510552,59.062859,58.747143,
2012-01-06,59.967144,60.392857,59.888573,60.342857,52.14463,79573200,,,0.010453800041531514,,2012,1,59.5133442073807,59.718571,59.062859,58.747143
2012-01-09,60.785713,61.107143,60.192856,60.247143,52.061932,98506100,,,-0.0015861695113309482,,2012,1,59.68030119870902,60.342857,59.718571,59.062859
2012-01-10,60.844284,60.857143,60.214287,60.462856,52.248333,64549100,,,0.0035804685377363032,,2012,1,59.83339571842284,60.247143,60.342857,59.718571
2012-01-11,60.382858,60.407143,59.901428,60.364285,52.163139,53771200,,,-0.0016302736344442348,,2012,1,59.925216478281165,60.462856,60.247143,60.342857
2012-01-12,60.325714,60.414288,59.82143,60.19857,52.019955,53146800,,,-0.002745249115433168,,2012,1,59.96786944637913,60.364285,60.462856,60.247143
2012-01-13,59.957142,60.064285,59.808571,59.972858,51.824898,56505400,,,-0.0037494578359584807,,2012,1,59.96858257458607,60.19857,60.364285,60.462856
2012-01-17,60.599998,60.855713,60.422855,60.671429,52.428562,60724300,59.978857100000006,,0.011648119220864839,,2012,1,60.06174884772944,59.972858,60.19857,60.364285
2012-01-18,60.994286,61.352856,60.900002,61.30143,52.972977,69197800,60.234285799999995,,0.01038381673851796,,2012,1,60.21560715600404,60.671429,59.972858,60.19857
2012-01-19,61.450001,61.624287,60.93,61.107143,52.805092,65434600,60.43871419999999,,-0.003169371415968625,,2012,1,60.32003344292501,61.30143,60.671429,59.972858
2012-01-20,61.07,61.07143,59.964287,60.042858,51.885387,103493600,60.4711429,,-0.01741670364134018,,2012,1,60.289190460380375,61.107143,61.30143,60.671429
2012-01-23,60.381428,61.207142,60.328571,61.058571,52.763115,76515600,60.5427143,,0.016916466567930444,,2012,1,60.37097961856462,60.042858,61.107143,61.30143
2012-01-24,60.728573,60.728573,59.935715,60.058571,51.898972,136909500,60.52385710000001,,-0.01637771706121327,,2012,1,60.33910112817972,61.058571,60.042858,61.107143
2012-01-25,64.919998,64.921425,63.389999,63.808571,55.139496,239578500,60.8584286,,0.06243904804195233,,2012,1,60.68032494893833,60.058571,61.058571,60.042858
2012-01-26,64.05143,64.112854,63.305714,63.51857,54.888889,80996300,61.1738571,,-0.004544859655296163,,2012,1,60.95033204439156,63.808571,60.058571,61.058571
2012-01-27,63.477142,64.068573,63.395714,63.897144,55.216022,74927300,61.54371450000001,,0.005960052312260711,,2012,1,61.22233962555469,63.51857,63.808571,60.058571
2012-01-30,63.672855,64.842857,63.627144,64.715714,55.923389,94835300,62.018000099999995,,0.012810744718105171,,2012,1,61.53607934442539,63.897144,63.51857,63.808571
2012-01-31,65.084282,65.46286,64.724289,65.211426,56.351761,97920900,62.471999800000006,,0.007659839772454546,,2012,1,61.858018905510285,64.715714,63.897144,63.51857
2012-02-01,65.487144,65.57,65.078575,65.169998,56.315968,67511500,62.8588566,,-0.0006352874418049659,,2012,2,62.14158531998081,65.211426,64.715714,63.897144
